,CT,length,height,depth
0,CT-0,512,512,40
0,CT-0,512,512,43
0,CT-0,512,512,45
0,CT-0,512,512,48
0,CT-0,512,512,42
0,CT-0,512,512,45
0,CT-0,512,512,40
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,46
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,41
0,CT-0,512,512,40
0,CT-0,512,512,41
0,CT-0,512,512,40
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,36
0,CT-0,512,512,40
0,CT-0,512,512,35
0,CT-0,512,512,33
0,CT-0,512,512,67
0,CT-0,512,512,41
0,CT-0,512,512,45
0,CT-0,512,512,35
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,41
0,CT-0,512,512,45
0,CT-0,512,512,39
0,CT-0,512,512,45
0,CT-0,512,512,55
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,49
0,CT-0,512,512,45
0,CT-0,512,512,43
0,CT-0,512,512,39
0,CT-0,512,512,45
0,CT-0,512,512,46
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,46
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,40
0,CT-0,512,512,46
0,CT-0,512,512,45
0,CT-0,512,512,44
0,CT-0,512,512,41
0,CT-0,512,512,47
0,CT-0,512,512,46
0,CT-0,512,512,43
0,CT-0,512,512,45
0,CT-0,512,512,52
0,CT-0,512,512,44
0,CT-0,512,512,48
0,CT-0,512,512,46
0,CT-0,512,512,48
0,CT-0,512,512,51
0,CT-0,512,512,41
0,CT-0,512,512,48
0,CT-0,512,512,52
0,CT-0,512,512,46
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,48
0,CT-0,512,512,48
0,CT-0,512,512,45
0,CT-0,512,512,36
0,CT-0,512,512,57
0,CT-0,512,512,51
0,CT-0,512,512,51
0,CT-0,512,512,57
0,CT-0,512,512,53
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,40
0,CT-0,512,512,46
0,CT-0,512,512,43
0,CT-0,512,512,53
0,CT-0,512,512,51
0,CT-0,512,512,49
0,CT-0,512,512,45
0,CT-0,512,512,50
0,CT-0,512,512,45
0,CT-0,512,512,46
0,CT-0,512,512,41
0,CT-0,512,512,46
0,CT-0,512,512,45
0,CT-0,512,512,56
0,CT-0,512,512,46
0,CT-0,512,512,49
0,CT-0,512,512,54
0,CT-0,512,512,47
0,CT-0,512,512,47
0,CT-0,512,512,51
0,CT-0,512,512,53
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,49
0,CT-0,512,512,44
0,CT-0,512,512,43
0,CT-0,512,512,43
0,CT-0,512,512,40
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,44
0,CT-0,512,512,50
0,CT-0,512,512,45
0,CT-0,512,512,54
0,CT-0,512,512,53
0,CT-0,512,512,35
0,CT-0,512,512,46
0,CT-0,512,512,43
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,36
0,CT-0,512,512,45
0,CT-0,512,512,45
0,CT-0,512,512,36
0,CT-0,512,512,43
0,CT-0,512,512,41
0,CT-0,512,512,41
0,CT-0,512,512,46
0,CT-0,512,512,48
0,CT-0,512,512,40
0,CT-0,512,512,38
0,CT-0,512,512,38
0,CT-0,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,39
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,37
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,42
0,CT-1,512,512,41
0,CT-1,512,512,46
0,CT-1,512,512,34
0,CT-1,512,512,38
0,CT-1,512,512,43
0,CT-1,512,512,42
0,CT-1,512,512,46
0,CT-1,512,512,40
0,CT-1,512,512,37
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,33
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,53
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,47
0,CT-1,512,512,42
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,48
0,CT-1,512,512,41
0,CT-1,512,512,33
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,44
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,39
0,CT-1,512,512,36
0,CT-1,512,512,37
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,36
0,CT-1,512,512,38
0,CT-1,512,512,38
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,35
0,CT-1,512,512,40
0,CT-1,512,512,47
0,CT-1,512,512,42
0,CT-1,512,512,36
0,CT-1,512,512,48
0,CT-1,512,512,38
0,CT-1,512,512,46
0,CT-1,512,512,36
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,39
0,CT-1,512,512,42
0,CT-1,512,512,40
0,CT-1,512,512,34
0,CT-1,512,512,46
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,37
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,36
0,CT-1,512,512,38
0,CT-1,512,512,42
0,CT-1,512,512,32
0,CT-1,512,512,40
0,CT-1,512,512,39
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,37
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,37
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,48
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,43
0,CT-1,512,512,36
0,CT-1,512,512,40
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,36
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,37
0,CT-1,512,512,50
0,CT-1,512,512,37
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,37
0,CT-1,512,512,42
0,CT-1,512,512,41
0,CT-1,512,512,37
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,39
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,36
0,CT-1,512,512,31
0,CT-1,512,512,41
0,CT-1,512,512,36
0,CT-1,512,512,45
0,CT-1,512,512,39
0,CT-1,512,512,37
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,35
0,CT-1,512,512,46
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,46
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,35
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,48
0,CT-1,512,512,47
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,33
0,CT-1,512,512,33
0,CT-1,512,512,49
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,35
0,CT-1,512,512,44
0,CT-1,512,512,35
0,CT-1,512,512,43
0,CT-1,512,512,44
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,36
0,CT-1,512,512,38
0,CT-1,512,512,36
0,CT-1,512,512,42
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,36
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,47
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,47
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,37
0,CT-1,512,512,42
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,36
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,34
0,CT-1,512,512,47
0,CT-1,512,512,38
0,CT-1,512,512,43
0,CT-1,512,512,35
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,37
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,35
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,40
0,CT-1,512,512,47
0,CT-1,512,512,37
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,32
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,42
0,CT-1,512,512,36
0,CT-1,512,512,64
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,35
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,37
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,48
0,CT-1,512,512,36
0,CT-1,512,512,38
0,CT-1,512,512,39
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,42
0,CT-1,512,512,42
0,CT-1,512,512,40
0,CT-1,512,512,36
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,39
0,CT-1,512,512,46
0,CT-1,512,512,33
0,CT-1,512,512,49
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,35
0,CT-1,512,512,35
0,CT-1,512,512,46
0,CT-1,512,512,43
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,42
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,37
0,CT-1,512,512,36
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,48
0,CT-1,512,512,40
0,CT-1,512,512,35
0,CT-1,512,512,40
0,CT-1,512,512,38
0,CT-1,512,512,42
0,CT-1,512,512,36
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,41
0,CT-1,512,512,35
0,CT-1,512,512,45
0,CT-1,512,512,36
0,CT-1,512,512,46
0,CT-1,512,512,41
0,CT-1,512,512,37
0,CT-1,512,512,40
0,CT-1,512,512,42
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,42
0,CT-1,512,512,42
0,CT-1,512,512,37
0,CT-1,512,512,33
0,CT-1,512,512,38
0,CT-1,512,512,43
0,CT-1,512,512,44
0,CT-1,512,512,43
0,CT-1,512,512,44
0,CT-1,512,512,39
0,CT-1,512,512,42
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,42
0,CT-1,512,512,46
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,43
0,CT-1,512,512,40
0,CT-1,512,512,35
0,CT-1,512,512,37
0,CT-1,512,512,38
0,CT-1,512,512,44
0,CT-1,512,512,45
0,CT-1,512,512,42
0,CT-1,512,512,42
0,CT-1,512,512,46
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,38
0,CT-1,512,512,46
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,37
0,CT-1,512,512,42
0,CT-1,512,512,42
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,47
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,38
0,CT-1,512,512,33
0,CT-1,512,512,41
0,CT-1,512,512,37
0,CT-1,512,512,38
0,CT-1,512,512,47
0,CT-1,512,512,33
0,CT-1,512,512,41
0,CT-1,512,512,36
0,CT-1,512,512,49
0,CT-1,512,512,43
0,CT-1,512,512,36
0,CT-1,512,512,36
0,CT-1,512,512,33
0,CT-1,512,512,45
0,CT-1,512,512,36
0,CT-1,512,512,43
0,CT-1,512,512,35
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,47
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,32
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,47
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,42
0,CT-1,512,512,31
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,39
0,CT-1,512,512,40
0,CT-1,512,512,38
0,CT-1,512,512,42
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,37
0,CT-1,512,512,33
0,CT-1,512,512,36
0,CT-1,512,512,39
0,CT-1,512,512,36
0,CT-1,512,512,43
0,CT-1,512,512,46
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,35
0,CT-1,512,512,46
0,CT-1,512,512,36
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,47
0,CT-1,512,512,44
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,44
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,33
0,CT-1,512,512,40
0,CT-1,512,512,37
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,44
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,40
0,CT-1,512,512,50
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,46
0,CT-1,512,512,43
0,CT-1,512,512,43
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,46
0,CT-1,512,512,40
0,CT-1,512,512,43
0,CT-1,512,512,36
0,CT-1,512,512,37
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,42
0,CT-1,512,512,43
0,CT-1,512,512,44
0,CT-1,512,512,39
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,42
0,CT-1,512,512,40
0,CT-1,512,512,35
0,CT-1,512,512,42
0,CT-1,512,512,39
0,CT-1,512,512,36
0,CT-1,512,512,41
0,CT-1,512,512,46
0,CT-1,512,512,43
0,CT-1,512,512,36
0,CT-1,512,512,46
0,CT-1,512,512,41
0,CT-1,512,512,32
0,CT-1,512,512,38
0,CT-1,512,512,43
0,CT-1,512,512,43
0,CT-1,512,512,41
0,CT-1,512,512,33
0,CT-1,512,512,45
0,CT-1,512,512,31
0,CT-1,512,512,41
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,40
0,CT-1,512,512,44
0,CT-1,512,512,39
0,CT-1,512,512,39
0,CT-1,512,512,52
0,CT-1,512,512,35
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,37
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,38
0,CT-1,512,512,47
0,CT-1,512,512,31
0,CT-1,512,512,41
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,37
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,47
0,CT-1,512,512,51
0,CT-1,512,512,46
0,CT-1,512,512,40
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,45
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,43
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,41
0,CT-1,512,512,39
0,CT-1,512,512,33
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,46
0,CT-1,512,512,44
0,CT-1,512,512,44
0,CT-1,512,512,48
0,CT-1,512,512,41
0,CT-1,512,512,33
0,CT-1,512,512,41
0,CT-1,512,512,35
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,36
0,CT-1,512,512,41
0,CT-1,512,512,35
0,CT-1,512,512,38
0,CT-1,512,512,42
0,CT-1,512,512,37
0,CT-1,512,512,35
0,CT-1,512,512,45
0,CT-1,512,512,35
0,CT-1,512,512,42
0,CT-1,512,512,47
0,CT-1,512,512,38
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,46
0,CT-1,512,512,45
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,38
0,CT-1,512,512,38
0,CT-1,512,512,40
0,CT-1,512,512,48
0,CT-1,512,512,41
0,CT-1,512,512,38
0,CT-1,512,512,45
0,CT-1,512,512,37
0,CT-1,512,512,48
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,48
0,CT-1,512,512,41
0,CT-1,512,512,48
0,CT-1,512,512,48
0,CT-1,512,512,42
0,CT-1,512,512,41
0,CT-1,512,512,44
0,CT-1,512,512,46
0,CT-1,512,512,45
0,CT-1,512,512,55
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,39
0,CT-1,512,512,43
0,CT-1,512,512,36
0,CT-1,512,512,47
0,CT-1,512,512,38
0,CT-1,512,512,47
0,CT-1,512,512,46
0,CT-1,512,512,45
0,CT-1,512,512,44
0,CT-1,512,512,39
0,CT-1,512,512,38
0,CT-1,512,512,44
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,45
0,CT-1,512,512,50
0,CT-1,512,512,50
0,CT-1,512,512,55
0,CT-1,512,512,36
0,CT-1,512,512,45
0,CT-1,512,512,46
0,CT-1,512,512,41
0,CT-1,512,512,42
0,CT-1,512,512,40
0,CT-1,512,512,40
0,CT-1,512,512,43
0,CT-1,512,512,38
0,CT-1,512,512,41
0,CT-1,512,512,43
0,CT-1,512,512,46
0,CT-1,512,512,53
0,CT-1,512,512,44
0,CT-1,512,512,43
0,CT-1,512,512,50
0,CT-1,512,512,57
0,CT-1,512,512,56
0,CT-1,512,512,57
0,CT-1,512,512,47
0,CT-1,512,512,48
0,CT-1,512,512,43
0,CT-1,512,512,45
0,CT-1,512,512,41
0,CT-1,512,512,44
0,CT-2,512,512,54
0,CT-2,512,512,43
0,CT-2,512,512,36
0,CT-2,512,512,38
0,CT-2,512,512,45
0,CT-2,512,512,43
0,CT-2,512,512,40
0,CT-2,512,512,36
0,CT-2,512,512,39
0,CT-2,512,512,45
0,CT-2,512,512,36
0,CT-2,512,512,38
0,CT-2,512,512,32
0,CT-2,512,512,38
0,CT-2,512,512,34
0,CT-2,512,512,38
0,CT-2,512,512,40
0,CT-2,512,512,40
0,CT-2,512,512,36
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,41
0,CT-2,512,512,45
0,CT-2,512,512,48
0,CT-2,512,512,41
0,CT-2,512,512,36
0,CT-2,512,512,43
0,CT-2,512,512,38
0,CT-2,512,512,38
0,CT-2,512,512,40
0,CT-2,512,512,41
0,CT-2,512,512,35
0,CT-2,512,512,45
0,CT-2,512,512,36
0,CT-2,512,512,46
0,CT-2,512,512,43
0,CT-2,512,512,43
0,CT-2,512,512,38
0,CT-2,512,512,34
0,CT-2,512,512,33
0,CT-2,512,512,37
0,CT-2,512,512,38
0,CT-2,512,512,41
0,CT-2,512,512,42
0,CT-2,512,512,41
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,42
0,CT-2,512,512,39
0,CT-2,512,512,36
0,CT-2,512,512,37
0,CT-2,512,512,36
0,CT-2,512,512,46
0,CT-2,512,512,40
0,CT-2,512,512,41
0,CT-2,512,512,41
0,CT-2,512,512,42
0,CT-2,512,512,43
0,CT-2,512,512,38
0,CT-2,512,512,45
0,CT-2,512,512,37
0,CT-2,512,512,43
0,CT-2,512,512,44
0,CT-2,512,512,36
0,CT-2,512,512,36
0,CT-2,512,512,37
0,CT-2,512,512,42
0,CT-2,512,512,45
0,CT-2,512,512,38
0,CT-2,512,512,45
0,CT-2,512,512,43
0,CT-2,512,512,39
0,CT-2,512,512,37
0,CT-2,512,512,41
0,CT-2,512,512,42
0,CT-2,512,512,41
0,CT-2,512,512,44
0,CT-2,512,512,40
0,CT-2,512,512,42
0,CT-2,512,512,41
0,CT-2,512,512,40
0,CT-2,512,512,45
0,CT-2,512,512,65
0,CT-2,512,512,45
0,CT-2,512,512,42
0,CT-2,512,512,41
0,CT-2,512,512,42
0,CT-2,512,512,36
0,CT-2,512,512,46
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,46
0,CT-2,512,512,40
0,CT-2,512,512,43
0,CT-2,512,512,43
0,CT-2,512,512,46
0,CT-2,512,512,50
0,CT-2,512,512,41
0,CT-2,512,512,45
0,CT-2,512,512,38
0,CT-2,512,512,41
0,CT-2,512,512,45
0,CT-2,512,512,43
0,CT-2,512,512,41
0,CT-2,512,512,41
0,CT-2,512,512,43
0,CT-2,512,512,45
0,CT-2,512,512,39
0,CT-2,512,512,50
0,CT-2,512,512,50
0,CT-2,512,512,38
0,CT-2,512,512,45
0,CT-2,512,512,38
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,45
0,CT-2,512,512,40
0,CT-2,512,512,36
0,CT-2,512,512,36
0,CT-2,512,512,39
0,CT-2,512,512,43
0,CT-2,512,512,46
0,CT-2,512,512,38
0,CT-3,512,512,45
0,CT-3,512,512,45
0,CT-3,512,512,40
0,CT-3,512,512,35
0,CT-3,512,512,38
0,CT-3,512,512,48
0,CT-3,512,512,40
0,CT-3,512,512,37
0,CT-3,512,512,33
0,CT-3,512,512,36
0,CT-3,512,512,39
0,CT-3,512,512,40
