,certainty
282,5.0
283,4.0
284,5.0
285,5.0
286,5.0
287,5.0
288,5.0
289,3.0
290,5.0
291,5.0
292,5.0
293,4.0
294,5.0
295,5.0
296,5.0
297,5.0
298,5.0
299,4.0
300,4.0
301,4.0
302,4.0
303,4.0
304,5.0
305,5.0
306,3.0
307,3.0
308,5.0
309,5.0
310,3.0
311,5.0
312,4.0
313,4.0
314,4.0
315,4.0
316,4.0
317,4.0
318,4.0
319,4.0
320,4.0
321,5.0
322,5.0
323,5.0
324,5.0
325,4.0
326,5.0
327,5.0
328,5.0
329,5.0
330,5.0
331,5.0
332,5.0
333,5.0
334,4.0
335,4.0
336,5.0
337,4.0
338,4.0
339,3.0
340,4.0
341,5.0
342,5.0
343,3.0
344,5.0
345,3.0
346,5.0
347,5.0
348,5.0
349,4.0
350,3.0
351,5.0
352,5.0
353,5.0
354,3.0
355,5.0
356,5.0
357,5.0
358,5.0
359,5.0
360,5.0
361,5.0
362,5.0
363,3.0
364,3.0
365,5.0
366,5.0
367,5.0
368,5.0
369,4.0
370,5.0
371,4.0
372,4.0
373,4.0
374,4.0
375,5.0
376,5.0
377,3.0
378,4.0
379,4.0
380,5.0
381,4.0
382,4.0
383,4.0
384,4.0
385,5.0
386,2.0
387,5.0
388,5.0
389,5.0
390,5.0
391,5.0
392,5.0
393,5.0
394,5.0
395,5.0
396,5.0
397,5.0
398,5.0
399,5.0
400,4.0
401,4.0
402,4.0
403,5.0
404,5.0
405,3.0
406,4.0
407,3.0
408,3.0
409,4.0
410,5.0
411,4.0
412,3.0
413,5.0
414,4.0
415,4.0
416,4.0
417,5.0
418,5.0
419,5.0
420,5.0
421,5.0
422,4.0
423,5.0
424,3.0
425,5.0
426,5.0
427,5.0
428,5.0
429,5.0
430,4.0
431,4.0
432,3.0
433,3.0
434,3.0
435,4.0
436,4.0
437,3.0
438,5.0
439,5.0
440,5.0
441,4.0
442,5.0
443,5.0
444,3.0
445,3.0
446,3.0
447,4.0
448,4.0
449,4.0
450,4.0
451,5.0
452,4.0
453,5.0
454,4.0
455,4.0
456,3.0
457,5.0
458,5.0
459,5.0
460,5.0
461,5.0
462,5.0
463,5.0
464,4.0
465,4.0
466,5.0
467,5.0
468,5.0
469,3.0
470,5.0
471,5.0
472,3.0
473,5.0
474,5.0
475,4.0
476,5.0
477,5.0
478,3.0
479,5.0
480,4.0
481,4.0
482,5.0
483,4.0
484,4.0
485,4.0
486,5.0
487,3.0
488,3.0
489,5.0
490,5.0
491,5.0
492,4.0
493,4.0
494,4.0
495,4.0
496,5.0
497,3.0
498,5.0
499,5.0
500,3.0
501,5.0
502,5.0
503,4.0
504,5.0
505,4.0
506,4.0
507,5.0
508,3.0
509,5.0
510,4.0
511,3.0
512,5.0
513,3.0
514,5.0
515,5.0
516,3.0
517,5.0
518,4.0
519,4.0
520,5.0
521,5.0
522,5.0
523,5.0
524,4.0
525,5.0
526,4.0
527,5.0
528,5.0
529,4.0
530,5.0
531,3.0
532,3.0
533,5.0
534,5.0
535,5.0
536,5.0
537,5.0
538,5.0
539,3.0
540,5.0
541,3.0
542,5.0
543,5.0
544,4.0
545,4.0
546,4.0
547,5.0
548,5.0
549,5.0
550,5.0
551,4.0
552,5.0
553,4.0
554,5.0
555,5.0
556,4.0
557,4.0
558,4.0
559,4.0
560,5.0
561,5.0
562,5.0
563,5.0
564,5.0
565,5.0
566,4.0
567,4.0
568,3.0
569,5.0
570,5.0
571,4.0
572,3.0
573,2.0
574,5.0
575,5.0
576,5.0
577,5.0
578,5.0
579,4.0
580,4.0
581,2.0
582,4.0
583,5.0
584,3.0
585,3.0
586,3.0
587,5.0
588,3.0
589,3.0
590,4.0
591,3.0
592,3.0
593,5.0
594,5.0
595,4.0
596,4.0
597,5.0
598,5.0
599,5.0
600,5.0
601,5.0
602,5.0
603,5.0
604,5.0
605,5.0
606,5.0
607,5.0
608,5.0
609,5.0
610,5.0
611,4.0
612,4.0
613,5.0
614,5.0
615,3.0
616,3.0
617,5.0
618,5.0
619,5.0
620,5.0
621,5.0
622,5.0
623,5.0
624,5.0
625,5.0
626,5.0
627,4.0
628,5.0
629,5.0
630,4.0
631,3.0
632,4.0
633,5.0
634,4.0
635,5.0
636,5.0
637,4.0
638,4.0
639,5.0
640,4.0
641,5.0
642,5.0
643,5.0
644,4.0
645,4.0
646,4.0
647,4.0
648,4.0
649,4.0
650,5.0
651,3.0
652,4.0
653,5.0
654,5.0
655,5.0
656,5.0
657,5.0
658,5.0
659,5.0
660,5.0
661,4.0
662,4.0
663,3.0
664,3.0
665,4.0
666,4.0
667,2.0
668,5.0
669,2.0
670,2.0
671,5.0
672,5.0
673,4.0
674,5.0
675,5.0
676,4.0
677,5.0
678,5.0
679,5.0
680,4.0
681,4.0
682,5.0
683,4.0
684,3.0
685,4.0
686,5.0
687,5.0
688,5.0
689,5.0
690,3.0
691,4.0
692,5.0
693,3.0
694,5.0
695,5.0
696,5.0
697,5.0
698,5.0
699,4.0
700,4.0
701,4.0
702,2.0
703,4.0
704,4.0
705,4.0
706,4.0
707,3.0
708,5.0
709,5.0
710,3.0
711,4.0
712,4.0
713,3.0
714,4.0
715,5.0
716,5.0
717,5.0
718,5.0
719,3.0
720,5.0
721,5.0
722,2.0
723,2.0
724,4.0
725,4.0
726,4.0
727,4.0
728,4.0
729,4.0
730,4.0
731,4.0
732,5.0
733,5.0
734,5.0
735,5.0
736,5.0
737,5.0
738,4.0
739,5.0
740,5.0
741,4.0
742,5.0
743,3.0
744,5.0
745,5.0
746,4.0
747,4.0
748,4.0
749,3.0
750,5.0
751,5.0
752,5.0
753,5.0
754,4.0
755,2.0
756,1.0
757,3.0
758,3.0
759,5.0
760,5.0
761,5.0
762,4.0
763,5.0
764,5.0
765,4.0
766,5.0
767,5.0
768,5.0
769,4.0
770,4.0
771,5.0
772,5.0
773,5.0
774,5.0
775,4.0
776,4.0
777,5.0
778,5.0
779,5.0
780,5.0
781,5.0
782,5.0
783,5.0
784,5.0
785,4.0
786,4.0
787,4.0
788,4.0
789,5.0
790,5.0
791,5.0
792,5.0
793,2.0
794,2.0
795,4.0
796,2.0
797,4.0
798,4.0
799,5.0
800,4.0
801,4.0
802,5.0
803,3.0
804,2.0
805,5.0
806,5.0
807,4.0
808,5.0
809,3.0
810,5.0
811,5.0
812,5.0
813,4.0
814,5.0
815,5.0
816,5.0
817,4.0
818,4.0
819,5.0
820,3.0
821,5.0
822,5.0
823,5.0
824,3.0
825,5.0
826,5.0
827,5.0
828,3.0
829,1.0
830,5.0
831,5.0
832,5.0
833,4.0
834,5.0
835,5.0
836,5.0
837,5.0
838,5.0
839,5.0
840,5.0
841,4.0
842,5.0
843,5.0
844,5.0
845,5.0
846,5.0
847,4.0
848,5.0
849,5.0
850,5.0
851,5.0
852,5.0
853,5.0
854,3.0
855,5.0
856,5.0
857,5.0
858,5.0
859,5.0
860,5.0
861,5.0
862,4.0
863,4.0
864,5.0
865,5.0
866,5.0
867,5.0
868,4.0
869,5.0
870,3.0
871,5.0
872,5.0
873,5.0
874,5.0
875,5.0
876,5.0
877,5.0
878,5.0
879,5.0
880,4.0
881,4.0
882,4.0
883,5.0
884,5.0
885,5.0
886,4.0
887,3.0
888,2.0
889,5.0
890,4.0
891,4.0
892,4.0
893,3.0
894,4.0
895,5.0
896,5.0
897,5.0
898,5.0
899,5.0
900,4.0
901,4.0
902,4.0
903,4.0
904,2.0
905,2.0
906,5.0
907,3.0
908,5.0
909,5.0
910,5.0
911,5.0
912,5.0
913,5.0
914,5.0
915,4.0
916,4.0
917,4.0
918,5.0
919,5.0
920,5.0
921,5.0
922,5.0
923,5.0
924,5.0
925,5.0
926,5.0
927,5.0
928,4.0
929,3.0
930,5.0
931,4.0
932,4.0
933,3.0
934,2.0
935,4.0
936,5.0
937,3.0
938,5.0
939,5.0
940,5.0
941,5.0
942,5.0
943,5.0
944,3.0
945,5.0
946,5.0
947,5.0
948,5.0
949,5.0
950,4.0
951,5.0
952,3.0
953,5.0
954,5.0
955,5.0
956,5.0
957,5.0
958,5.0
959,5.0
960,5.0
961,4.0
962,5.0
963,5.0
964,5.0
965,5.0
966,5.0
967,5.0
968,5.0
969,4.0
970,5.0
971,2.0
972,5.0
973,5.0
974,5.0
975,5.0
976,5.0
977,5.0
978,3.0
979,3.0
980,4.0
981,4.0
982,5.0
983,5.0
984,5.0
985,3.0
986,5.0
987,5.0
988,4.0
989,4.0
990,4.0
991,4.0
992,4.0
993,2.0
994,4.0
995,5.0
996,3.0
997,3.0
998,5.0
999,4.0
1000,2.0
1001,2.0
1002,5.0
1003,5.0
1004,4.0
1005,5.0
1006,4.0
1007,5.0
1008,4.0
1009,5.0
1010,1.0
1011,4.0
1012,3.0
1013,4.0
1014,4.0
1015,5.0
1016,4.0
1017,4.0
1018,2.0
1019,2.0
1020,5.0
1021,4.0
1022,4.0
1023,3.0
1024,4.0
1025,5.0
1026,4.0
1027,3.0
1028,3.0
1029,5.0
1030,5.0
1031,5.0
1032,5.0
1033,5.0
1034,5.0
1035,5.0
1036,5.0
1037,3.0
1038,5.0
1039,5.0
1040,4.0
1041,4.0
1042,4.0
1043,4.0
1044,5.0
1045,5.0
1046,3.0
1047,5.0
1048,5.0
1049,3.0
1050,5.0
1051,5.0
1052,5.0
1053,5.0
1054,4.0
1055,5.0
1056,5.0
1057,5.0
1058,3.0
1059,4.0
1060,5.0
1061,1.0
1062,1.0
1063,5.0
1064,5.0
1065,3.0
1066,2.0
1067,3.0
1068,4.0
1069,5.0
1070,5.0
1071,5.0
1072,5.0
1073,2.0
1074,5.0
1075,4.0
1076,4.0
1077,5.0
1078,4.0
1079,4.0
1080,3.0
1081,5.0
1082,4.0
1083,4.0
1084,3.0
1085,5.0
1086,5.0
1087,5.0
1088,5.0
1089,5.0
1090,4.0
1091,4.0
1092,4.0
1093,5.0
1094,4.0
1095,5.0
1096,5.0
1097,5.0
1098,5.0
1099,5.0
1100,4.0
1101,4.0
1102,4.0
1103,5.0
1104,5.0
1105,5.0
1106,3.0
1107,3.0
1108,5.0
1109,5.0
1110,5.0
1111,4.0
1112,5.0
1113,5.0
1114,4.0
1115,5.0
1116,5.0
1117,5.0
1118,5.0
1119,2.0
1120,4.0
1121,3.0
1122,3.0
1123,5.0
1124,5.0
1125,5.0
1126,4.0
1127,5.0
1128,5.0
1129,4.0
1130,3.0
1131,5.0
1132,5.0
1133,4.0
1134,3.0
1135,4.0
1136,4.0
1137,5.0
1138,5.0
1139,3.0
1140,4.0
1141,4.0
1142,4.0
1143,5.0
1144,5.0
1145,5.0
1146,5.0
1147,5.0
1148,5.0
1149,4.0
1150,5.0
1151,5.0
1152,5.0
1153,5.0
1154,5.0
1155,5.0
1156,5.0
1157,5.0
1158,5.0
1159,5.0
1160,5.0
1161,5.0
1162,5.0
1163,3.0
1164,5.0
1165,2.0
1166,5.0
1167,5.0
1168,5.0
1169,4.0
1170,5.0
1171,5.0
1172,4.0
1173,4.0
1174,5.0
1175,5.0
1176,5.0
1177,5.0
1178,5.0
1179,5.0
1180,5.0
1181,5.0
1182,5.0
1183,3.0
1184,5.0
1185,5.0
1186,5.0
1187,5.0
1188,4.0
1189,4.0
1190,5.0
1191,5.0
1192,5.0
1193,5.0
1194,5.0
1195,5.0
1196,5.0
1197,5.0
1198,5.0
1199,4.0
1200,4.0
1201,4.0
1202,4.0
1203,5.0
1204,4.0
1205,4.0
1206,2.0
1207,2.0
1208,2.0
1209,2.0
1210,5.0
1211,5.0
1212,3.0
1213,5.0
1214,5.0
1215,5.0
1216,5.0
1217,5.0
1218,5.0
1219,4.0
1220,5.0
1221,5.0
1222,5.0
1223,5.0
1224,5.0
1225,5.0
1226,4.0
1227,4.0
1228,5.0
1229,5.0
1230,5.0
1231,5.0
1232,2.0
1233,1.0
1234,4.0
1235,3.0
1236,5.0
1237,5.0
1238,4.0
1239,5.0
1240,5.0
1241,5.0
1242,2.0
1243,4.0
1244,3.0
1245,4.0
1246,5.0
1247,5.0
1248,5.0
1249,4.0
1250,5.0
1251,3.0
1252,5.0
1253,5.0
1254,5.0
1255,3.0
1256,3.0
1257,5.0
1258,5.0
1259,4.0
1260,4.0
1261,4.0
1262,4.0
1263,5.0
1264,4.0
1265,3.0
1266,5.0
1267,5.0
1268,5.0
1269,4.0
1270,5.0
1271,5.0
1272,3.0
1273,5.0
1274,5.0
1275,5.0
1276,4.0
1277,4.0
1278,4.0
1279,5.0
1280,5.0
1281,5.0
1282,5.0
1283,5.0
1284,5.0
1285,5.0
1286,4.0
1287,4.0
1288,4.0
1289,4.0
1290,4.0
1291,4.0
1292,5.0
1293,5.0
1294,5.0
1295,5.0
1296,5.0
1297,5.0
1298,5.0
1299,5.0
1300,5.0
1301,4.0
1302,3.0
1303,4.0
1304,3.0
1305,4.0
1306,4.0
1307,4.0
1308,5.0
1309,3.0
1310,4.0
1311,3.0
1312,4.0
1313,4.0
1314,3.0
1315,3.0
1316,4.0
1317,4.0
1318,5.0
1319,2.0
1320,4.0
1321,5.0
1322,5.0
1323,4.0
1324,3.0
1325,3.0
1326,5.0
1327,5.0
1328,5.0
1329,5.0
1330,5.0
1331,5.0
1332,5.0
1333,3.0
1334,5.0
1335,5.0
1336,5.0
1337,5.0
1338,3.0
1339,5.0
1340,4.0
1341,4.0
1342,2.0
1343,5.0
1344,4.0
1345,4.0
1346,4.0
1347,4.0
1348,4.0
1349,5.0
1350,5.0
1351,5.0
1352,5.0
1353,5.0
1354,3.0
1355,3.0
1356,4.0
1357,5.0
1358,4.0
1359,5.0
1360,4.0
1361,5.0
1362,4.0
1363,5.0
1364,4.0
1365,5.0
1366,5.0
1367,3.0
1368,4.0
1369,4.0
1370,4.0
1371,5.0
1372,4.0
1373,4.0
1374,5.0
1375,4.0
1376,5.0
1377,5.0
1378,4.0
1379,5.0
1380,4.0
1381,5.0
1382,5.0
1383,4.0
1384,4.0
1385,5.0
1386,5.0
1387,5.0
1388,5.0
1389,3.0
1390,4.0
1391,4.0
1392,5.0
1393,5.0
1394,1.0
1395,5.0
1396,5.0
1397,5.0
1398,5.0
1399,5.0
1400,4.0
1401,4.0
1402,5.0
1403,5.0
1404,4.0
1405,5.0
1406,5.0
1407,4.0
1408,4.0
1409,4.0
1410,3.0
1411,3.0
1412,3.0
1413,4.0
1414,4.0
1415,3.0
1416,2.0
1417,4.0
1418,5.0
1419,4.0
1420,5.0
1421,5.0
1422,5.0
1423,4.0
1424,5.0
1425,4.0
1426,4.0
1427,5.0
1428,3.0
1429,5.0
1430,5.0
1431,5.0
1432,5.0
1433,3.0
1434,3.0
1435,3.0
1436,4.0
1437,5.0
1438,5.0
1439,5.0
1440,5.0
1441,5.0
1442,5.0
1443,5.0
1444,5.0
1445,3.0
1446,4.0
1447,5.0
1448,5.0
1449,5.0
1450,4.0
1451,5.0
1452,4.0
1453,4.0
1454,4.0
1455,5.0
1456,5.0
1457,5.0
1458,5.0
1459,5.0
1460,5.0
1461,4.0
1462,4.0
1463,5.0
1464,4.0
1465,5.0
1466,5.0
1467,5.0
1468,5.0
1469,5.0
1470,5.0
1471,3.0
1472,5.0
1473,4.0
1474,4.0
1475,4.0
1476,5.0
1477,5.0
1478,3.0
1479,3.0
1480,4.0
1481,4.0
1482,4.0
1483,4.0
1484,4.0
1485,5.0
1486,4.0
1487,5.0
1488,4.0
1489,5.0
1490,4.0
1491,5.0
1492,4.0
1493,3.0
1494,3.0
1495,5.0
1496,4.0
1497,4.0
1498,5.0
1499,5.0
1500,5.0
1501,5.0
1502,5.0
1503,5.0
1504,4.0
1505,4.0
1506,5.0
1507,3.0
1508,4.0
1509,3.0
1510,5.0
1511,5.0
1512,5.0
1513,4.0
1514,4.0
1515,5.0
1516,5.0
1517,5.0
1518,5.0
1519,4.0
1520,4.0
1521,5.0
1522,5.0
1523,4.0
1524,4.0
1525,5.0
1526,5.0
1527,2.0
1528,2.0
1529,5.0
1530,1.0
1531,5.0
1532,5.0
1533,4.0
1534,5.0
1535,5.0
1536,5.0
1537,5.0
1538,5.0
1539,5.0
1540,5.0
1541,5.0
1542,5.0
1543,5.0
1544,4.0
1545,4.0
1546,4.0
1547,5.0
1548,5.0
1549,5.0
1550,4.0
1551,4.0
1552,3.0
1553,5.0
1554,4.0
1555,4.0
1556,5.0
1557,5.0
1558,5.0
1559,5.0
1560,5.0
1561,4.0
1562,5.0
1563,5.0
1564,5.0
1565,5.0
1566,5.0
1567,5.0
1568,5.0
1569,5.0
1570,5.0
1571,3.0
1572,5.0
1573,5.0
1574,5.0
1575,5.0
1576,5.0
1577,4.0
1578,4.0
1579,4.0
1580,4.0
1581,4.0
1582,4.0
1583,5.0
1584,3.0
1585,5.0
1586,5.0
1587,4.0
1588,5.0
1589,5.0
1590,5.0
1591,5.0
1592,5.0
1593,2.0
1594,3.0
1595,3.0
1596,5.0
1597,5.0
1598,3.0
1599,5.0
1600,5.0
1601,4.0
1602,4.0
1603,5.0
1604,5.0
1605,5.0
1606,5.0
1607,5.0
1608,5.0
1609,5.0
1610,5.0
1611,5.0
1612,5.0
1613,3.0
1614,5.0
1615,5.0
1616,5.0
1617,5.0
1618,3.0
1619,5.0
1620,5.0
1621,5.0
1622,5.0
1623,4.0
1624,4.0
1625,3.0
1626,5.0
1627,5.0
1628,5.0
1629,5.0
1630,5.0
1631,5.0
1632,5.0
1633,5.0
1634,4.0
1635,4.0
1636,5.0
1637,5.0
1638,5.0
1639,5.0
1640,4.0
1641,4.0
1642,4.0
1643,4.0
1644,4.0
1645,5.0
1646,4.0
1647,5.0
1648,5.0
1649,5.0
1650,4.0
1651,4.0
1652,3.0
1653,3.0
1654,4.0
1655,5.0
1656,3.0
1657,5.0
1658,5.0
1659,4.0
1660,4.0
1661,4.0
1662,3.0
1663,5.0
1664,5.0
1665,3.0
1666,5.0
1667,5.0
1668,5.0
1669,5.0
1670,5.0
1671,5.0
1672,5.0
1673,3.0
1674,4.0
1675,3.0
1676,5.0
1677,5.0
1678,5.0
1679,5.0
1680,5.0
1681,5.0
1682,5.0
1683,4.0
1684,5.0
1685,5.0
1686,5.0
1687,4.0
1688,4.0
1689,4.0
1690,5.0
1691,5.0
1692,4.0
1693,4.0
1694,5.0
1695,4.0
1696,5.0
1697,5.0
1698,4.0
1699,4.0
1700,4.0
1701,4.0
1702,4.0
1703,5.0
1704,5.0
1705,5.0
1706,5.0
1707,4.0
1708,5.0
1709,5.0
1710,4.0
1711,4.0
1712,4.0
1713,3.0
1714,3.0
1715,3.0
1716,5.0
1717,5.0
1718,4.0
1719,5.0
1720,4.0
1721,4.0
1722,3.0
1723,3.0
1724,5.0
1725,3.0
1726,5.0
1727,5.0
1728,3.0
1729,5.0
1730,4.0
1731,4.0
1732,4.0
1733,4.0
1734,5.0
1735,4.0
1736,4.0
1737,4.0
1738,4.0
1739,4.0
1740,4.0
1741,4.0
1742,4.0
1743,5.0
1744,3.0
1745,4.0
1746,5.0
1747,5.0
1748,2.0
1749,5.0
1750,5.0
1751,5.0
1752,5.0
1753,4.0
1754,5.0
1755,4.0
1756,3.0
1757,5.0
1758,4.0
1759,5.0
1760,4.0
1761,4.0
1762,3.0
1763,5.0
1764,4.0
1765,5.0
1766,5.0
1767,5.0
1768,5.0
1769,5.0
1770,5.0
1771,4.0
1772,3.0
1773,4.0
1774,5.0
1775,4.0
1776,4.0
1777,4.0
1778,3.0
1779,5.0
1780,3.0
1781,4.0
1782,4.0
1783,5.0
1784,5.0
1785,4.0
1786,4.0
1787,4.0
1788,5.0
1789,5.0
1790,4.0
1791,4.0
1792,4.0
1793,5.0
1794,5.0
1795,4.0
1796,5.0
1797,5.0
1798,5.0
1799,5.0
1800,5.0
1801,5.0
1802,4.0
1803,3.0
1804,4.0
1805,3.0
1806,5.0
1807,5.0
1808,2.0
1809,2.0
1810,5.0
1811,5.0
1812,5.0
1813,4.0
1814,5.0
1815,4.0
1816,5.0
1817,5.0
1818,4.0
1819,5.0
1820,3.0
1821,5.0
1822,2.0
1823,5.0
1824,5.0
1825,3.0
1826,3.0
1827,3.0
1828,3.0
1829,3.0
1830,5.0
1831,3.0
1832,4.0
1833,5.0
1834,5.0
1835,5.0
1836,4.0
1837,5.0
1838,4.0
1839,5.0
1840,5.0
1841,4.0
1842,4.0
1843,4.0
1844,5.0
1845,5.0
1846,5.0
1847,4.0
1848,4.0
1849,4.0
1850,5.0
1851,5.0
1852,5.0
1853,4.0
1854,3.0
1855,5.0
1856,5.0
1857,5.0
1858,4.0
1859,5.0
1860,5.0
1861,5.0
1862,5.0
1863,4.0
1864,4.0
1865,4.0
1866,5.0
1867,5.0
1868,4.0
1869,4.0
1870,5.0
1871,5.0
1872,5.0
1873,4.0
1874,5.0
1875,3.0
1876,4.0
1877,4.0
1878,5.0
1879,5.0
1880,5.0
1881,5.0
1882,5.0
1883,5.0
1884,5.0
1885,5.0
1886,5.0
1887,5.0
1888,5.0
1889,4.0
1890,5.0
1891,4.0
1892,4.0
1893,4.0
1894,4.0
1895,3.0
1896,5.0
1897,5.0
1898,5.0
1899,5.0
1900,4.0
1901,4.0
1902,4.0
1903,5.0
1904,5.0
1905,5.0
1906,5.0
1907,5.0
1908,4.0
1909,2.0
1910,5.0
1911,5.0
1912,5.0
1913,5.0
1914,5.0
1915,5.0
1916,5.0
1917,5.0
1918,4.0
1919,4.0
1920,5.0
1921,5.0
1922,5.0
1923,5.0
1924,5.0
1925,5.0
1926,5.0
1927,4.0
1928,5.0
1929,5.0
1930,4.0
1931,5.0
1932,5.0
1933,5.0
1934,5.0
1935,4.0
1936,5.0
1937,5.0
1938,5.0
1939,3.0
1940,5.0
1941,5.0
1942,5.0
1943,5.0
1944,5.0
1945,5.0
1946,5.0
1947,5.0
1948,3.0
1949,3.0
1950,4.0
1951,5.0
1952,4.0
1953,5.0
1954,4.0
1955,4.0
1956,5.0
1957,4.0
1958,4.0
1959,4.0
1960,5.0
1961,5.0
1962,5.0
1963,5.0
1964,5.0
1965,5.0
1966,5.0
1967,5.0
1968,4.0
1969,4.0
1970,4.0
1971,4.0
1972,5.0
1973,5.0
1974,5.0
1975,3.0
1976,5.0
1977,5.0
1978,5.0
1979,4.0
1980,5.0
1981,3.0
1982,4.0
1983,4.0
1984,4.0
1985,4.0
1986,4.0
1987,5.0
1988,5.0
1989,4.0
1990,4.0
1991,5.0
1992,5.0
1993,3.0
1994,5.0
1995,5.0
1996,3.0
1997,5.0
1998,5.0
1999,5.0
2000,5.0
2001,5.0
2002,5.0
2003,5.0
2004,5.0
2005,3.0
2006,5.0
2007,5.0
2008,3.0
2009,3.0
2010,4.0
2011,4.0
2012,4.0
2013,4.0
2014,3.0
2015,3.0
2016,5.0
2017,4.0
2018,5.0
2019,3.0
2020,3.0
2021,5.0
2022,4.0
2023,3.0
2024,3.0
2025,4.0
2026,4.0
2027,4.0
2028,4.0
2029,4.0
2030,5.0
2031,5.0
2032,5.0
2033,5.0
2034,5.0
2035,3.0
2036,3.0
2037,3.0
2038,5.0
2039,5.0
2040,4.0
2041,5.0
2042,4.0
2043,5.0
2044,5.0
2045,4.0
2046,5.0
2047,4.0
2048,4.0
2049,4.0
2050,5.0
2051,5.0
2052,4.0
2053,4.0
2054,5.0
2055,3.0
2056,4.0
2057,4.0
2058,5.0
2059,1.0
2060,2.0
2061,2.0
2062,4.0
2063,2.0
2064,5.0
2065,1.0
2066,5.0
2067,4.0
2068,5.0
2069,4.0
2070,5.0
2071,5.0
2072,5.0
2073,4.0
2074,4.0
2075,4.0
2076,4.0
2077,4.0
2078,5.0
2079,5.0
2080,5.0
2081,4.0
2082,3.0
2083,3.0
2084,5.0
2085,5.0
2086,5.0
2087,3.0
2088,4.0
2089,5.0
2090,3.0
2091,5.0
2092,5.0
2093,5.0
2094,3.0
2095,3.0
2096,5.0
2097,5.0
2098,5.0
2099,4.0
2100,4.0
2101,3.0
2102,5.0
2103,4.0
2104,4.0
2105,5.0
2106,5.0
2107,5.0
2108,3.0
2109,5.0
2110,5.0
2111,5.0
2112,5.0
2113,4.0
2114,3.0
2115,5.0
2116,4.0
2117,4.0
2118,5.0
2119,3.0
2120,4.0
2121,4.0
2122,4.0
2123,4.0
2124,5.0
2125,5.0
2126,5.0
2127,5.0
2128,5.0
2129,5.0
2130,5.0
2131,4.0
2132,4.0
2133,4.0
2134,3.0
2135,5.0
2136,5.0
2137,5.0
2138,5.0
2139,5.0
2140,5.0
